Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,voltage,temperature,current,charge,capacity,design_capacity,percentage,power_supply_status,power_supply_health,power_supply_technology,present,location,serial_number
1737285475.3433337,12938,1737285475,339351846,,0.0,0.0,-23.489999771118164,nan,nan,nan,0.0,2,0,0,True,id0,
1737285475.4433892,12939,1737285475,438943735,,0.0,0.0,-23.540000915527344,nan,nan,nan,0.0,2,0,0,True,id0,
1737285475.5426347,12940,1737285475,539192735,,0.0,0.0,-23.489999771118164,nan,nan,nan,0.0,2,0,0,True,id0,
1737285475.6428509,12941,1737285475,639270031,,0.0,0.0,-23.440000534057617,nan,nan,nan,0.0,2,0,0,True,id0,
1737285475.743934,12942,1737285475,739458975,,0.0,0.0,-23.290000915527344,nan,nan,nan,0.0,2,0,0,True,id0,
1737285475.8448417,12943,1737285475,840589012,,0.0,0.0,-23.350000381469727,nan,nan,nan,0.0,2,0,0,True,id0,
1737285475.9438312,12944,1737285475,939749420,,0.0,0.0,-23.399999618530273,nan,nan,nan,0.0,2,0,0,True,id0,
1737285476.0435905,12945,1737285476,39318327,,0.0,0.0,-23.43000030517578,nan,nan,nan,0.0,2,0,0,True,id0,
1737285476.1432672,12946,1737285476,140631716,,0.0,0.0,-23.34000015258789,nan,nan,nan,0.0,2,0,0,True,id0,
1737285476.2425005,12947,1737285476,239592734,,0.0,0.0,-23.290000915527344,nan,nan,nan,0.0,2,0,0,True,id0,
1737285476.3452697,12948,1737285476,341146901,,0.0,0.0,-23.280000686645508,nan,nan,nan,0.0,2,0,0,True,id0,
1737285476.4438,12949,1737285476,439524456,,0.0,0.0,-23.34000015258789,nan,nan,nan,0.0,2,0,0,True,id0,
1737285476.5427566,12950,1737285476,539427660,,0.0,0.0,-23.360000610351562,nan,nan,nan,0.0,2,0,0,True,id0,
1737285476.6430364,12951,1737285476,640659604,,0.0,0.0,-23.40999984741211,nan,nan,nan,0.0,2,0,0,True,id0,
1737285476.7552917,12952,1737285476,740794863,,0.0,0.0,-23.450000762939453,nan,nan,nan,0.0,2,0,0,True,id0,
1737285476.8429627,12953,1737285476,839295400,,0.0,0.0,-23.440000534057617,nan,nan,nan,0.0,2,0,0,True,id0,
1737285476.9425807,12954,1737285476,940986845,,0.0,0.0,-23.530000686645508,nan,nan,nan,0.0,2,0,0,True,id0,
1737285477.0435126,12955,1737285477,39251123,,0.0,0.0,-23.559999465942383,nan,nan,nan,0.0,2,0,0,True,0.0,id0,
1737285477.143616,12956,1737285477,139427345,,0.0,0.0,-23.5,nan,nan,nan,0.0,2,0,0,True,id0,
1737285477.2437088,12957,1737285477,239901937,,0.0,0.0,-23.420000076293945,nan,nan,nan,0.0,2,0,0,True,id0,
1737285477.3426309,12958,1737285477,339320548,,0.0,0.0,-23.399999618530273,nan,nan,nan,0.0,2,0,0,True,id0,
1737285477.4430654,12959,1737285477,439479974,,0.0,0.0,-23.389999389648438,nan,nan,nan,0.0,2,0,0,True,id0,
1737285477.543974,12960,1737285477,540043752,,0.0,0.0,-23.350000381469727,nan,nan,nan,0.0,2,0,0,True,id0,
1737285477.6430206,12961,1737285477,640066159,,0.0,0.0,-23.3799991607666,nan,nan,nan,0.0,2,0,0,True,id0,
1737285477.743423,12962,1737285477,740370974,,0.0,0.0,-23.3700008392334,nan,nan,nan,0.0,2,0,0,True,id0,
1737285477.8434741,12963,1737285477,840352474,,0.0,0.0,-23.309999465942383,nan,nan,nan,0.0,2,0,0,True,id0,
1737285477.9450288,12964,1737285477,941068937,,0.0,0.0,-23.31999969482422,nan,nan,nan,0.0,2,0,0,True,id0,
1737285478.0453408,12965,1737285478,39611566,,0.0,0.0,-23.350000381469727,nan,nan,nan,0.0,2,0,0,True,id0,
1737285478.144274,12966,1737285478,139861418,,0.0,0.0,-23.31999969482422,nan,nan,nan,0.0,2,0,0,True,id0,
1737285478.247172,12967,1737285478,240971955,,0.0,0.0,-23.31999969482422,nan,nan,nan,0.0,2,0,0,True,id0,
1737285478.3485932,12968,1737285478,339506696,,0.0,0.0,-23.299999237060547,nan,nan,nan,0.0,2,0,0,True,0.0,id0,
1737285478.4438934,12969,1737285478,439795492,,0.0,0.0,-23.309999465942383,nan,nan,nan,0.0,2,0,0,True,id0,
1737285478.5460913,12970,1737285478,538403992,,0.0,0.0,-23.3799991607666,nan,nan,nan,0.0,2,0,0,True,id0,
1737285478.642249,12971,1737285478,638520677,,0.0,0.0,-23.34000015258789,nan,nan,nan,0.0,2,0,0,True,id0,
1737285478.7482905,12972,1737285478,739557733,,0.0,0.0,-23.329999923706055,nan,nan,nan,0.0,2,0,0,True,id0,
1737285478.8483214,12973,1737285478,838707344,,0.0,0.0,-23.329999923706055,nan,nan,nan,0.0,2,0,0,True,id0,
1737285478.9421673,12974,1737285478,938686251,,0.0,0.0,-23.329999923706055,nan,nan,nan,0.0,2,0,0,True,id0,
1737285479.0443885,12975,1737285479,41131770,,0.0,0.0,-23.3700008392334,nan,nan,nan,0.0,2,0,0,True,id0,
