Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,channels_0,channels_1,channels_2,channels_3,channels_4,channels_5,channels_6,channels_7,channels_8,channels_9,channels_10,channels_11,channels_12,channels_13,channels_14,channels_15
1737286270.3454146,20885,1737286270,341888664,,1345,1510,1793,1604,0,0,0,0,0,0,0,0,0,0,0,0
1737286270.4463334,20886,1737286270,441883200,,1206,1579,1867,1513,0,0,0,0,0,0,0,0,0,0,0,0
1737286270.545887,20887,1737286270,541886760,,1321,1500,1854,1550,0,0,0,0,0,0,0,0,0,0,0,0
1737286270.6472604,20888,1737286270,641826040,,1345,1517,1751,1650,0,0,0,0,0,0,0,0,0,0,0,0
1737286270.7464235,20889,1737286270,741924856,,1469,1451,1554,1796,0,0,0,0,0,0,0,0,0,0,0,0
1737286270.8527071,20890,1737286270,841835136,,1551,1425,1477,1802,0,0,0,0,0,0,0,0,0,0,0,0
1737286270.947259,20891,1737286270,941834952,,1348,1622,1705,1570,0,0,0,0,0,0,0,0,0,0,0,0
1737286271.0481744,20892,1737286271,41876232,,1444,1547,1674,1592,0,0,0,0,0,0,0,0,0,0,0,0
1737286271.1484938,20893,1737286271,141913304,,1500,1486,1589,1682,0,0,0,0,0,0,0,0,0,0,0,0
1737286271.2483096,20894,1737286271,241903584,,1497,1463,1550,1722,0,0,0,0,0,0,0,0,0,0,0,0
1737286271.347196,20895,1737286271,341886400,,1416,1521,1779,1492,0,0,0,0,0,0,0,0,0,0,0,0
1737286271.446804,20896,1737286271,441951192,,1475,1447,1548,1754,0,0,0,0,0,0,0,0,0,0,0,0
1737286271.547867,20897,1737286271,541856496,,1319,1565,1761,1560,0,0,0,0,0,0,0,0,0,0,0,0
1737286271.6460814,20898,1737286271,641931776,,1403,1489,1657,1689,0,0,0,0,0,0,0,0,0,0,0,0
1737286271.7483394,20899,1737286271,741850592,,1429,1453,1532,1801,0,0,0,0,0,0,0,0,0,0,0,0
1737286271.8525548,20900,1737286271,841874128,,1210,1600,1823,1507,0,0,0,0,0,0,0,0,0,0,0,0
1737286271.9495544,20901,1737286271,941868664,,1448,1431,1761,1597,0,0,0,0,0,0,0,0,0,0,0,0
1737286272.0478897,20902,1737286272,41924200,,1336,1529,1849,1474,0,0,0,0,0,0,0,0,0,0,0,0
1737286272.1479526,20903,1737286272,141876272,,1286,1564,1712,1648,0,0,0,0,0,0,0,0,0,0,0,0
1737286272.2470758,20904,1737286272,241931808,,1488,1395,1600,1749,0,0,0,0,0,0,0,0,0,0,0,0
1737286272.3460581,20905,1737286272,341966344,,1508,1379,1560,1774,0,0,0,0,0,0,0,0,0,0,0,0
1737286272.4487278,20906,1737286272,441856136,,1434,1468,1588,1747,0,0,0,0,0,0,0,0,0,0,0,0
1737286272.5480595,20907,1737286272,541908160,,1382,1524,1622,1710,0,0,0,0,0,0,0,0,0,0,0,0
1737286272.6479056,20908,1737286272,641934952,,1312,1578,1765,1544,0,0,0,0,0,0,0,0,0,0,0,0
1737286272.7463346,20909,1737286272,741950232,,1443,1483,1659,1656,0,0,0,0,0,0,0,0,0,0,0,0
1737286272.8462133,20910,1737286272,841973024,,1361,1550,1783,1506,0,0,0,0,0,0,0,0,0,0,0,0
1737286272.9460108,20911,1737286272,941964304,,1480,1441,1556,1741,0,0,0,0,0,0,0,0,0,0,0,0
1737286273.0490472,20912,1737286273,41953096,,1356,1544,1649,1659,0,0,0,0,0,0,0,0,0,0,0,0
1737286273.1470969,20913,1737286273,141919744,,1464,1448,1701,1607,0,0,0,0,0,0,0,0,0,0,0,0
