Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,rssi,channels_0,channels_1,channels_2,channels_3,channels_4,channels_5,channels_6,channels_7
1737285454.0275407,12808,1737285454,26543232,,255,1500,1422,1612,1503,999,1500,2000,1000
1737285454.1466978,12809,1737285454,128537344,,255,1500,1423,1612,1503,999,1500,2000,1000
1737285454.22937,12810,1737285454,227531968,,255,1500,1501,1612,1503,999,1500,2000,999
1737285454.3284478,12811,1737285454,326526848,,255,1500,1501,1612,1503,999,1500,2000,1000
1737285454.4309065,12812,1737285454,427521216,,255,1500,1501,1612,1503,999,1500,2000,1000
1737285454.5323722,12813,1737285454,529515840,,255,1500,1501,1612,1503,1000,1500,2000,1000
1737285454.6273818,12814,1737285454,626513280,,255,1500,1501,1612,1503,1000,1500,2000,1000
1737285454.7278898,12815,1737285454,726508928,,255,1500,1501,1612,1503,1000,1500,2000,1000
1737285454.8298345,12816,1737285454,827504320,,255,1500,1502,1612,1503,1000,1500,2000,999
1737285454.9362128,12817,1737285454,934500736,,255,1500,1504,1612,1503,1000,1500,2000,999
1737285455.0304897,12818,1737285455,29496640,,255,1500,1574,1612,1503,1000,1500,2000,1000
1737285455.1272917,12819,1737285455,125487424,,255,1500,1631,1612,1503,1000,1500,2000,1000
1737285455.22947,12820,1737285455,227482560,,255,1500,1665,1612,1503,1000,1500,2000,999
1737285455.328362,12821,1737285455,327479232,,255,1500,1669,1612,1503,1000,1500,2000,999
1737285455.432379,12822,1737285455,431476928,,255,1500,1661,1612,1503,1000,1500,2000,1000
1737285455.5367296,12823,1737285455,535472832,,255,1500,1659,1612,1503,1000,1500,2000,999
1737285455.6384914,12824,1737285455,637466944,,255,1500,1668,1612,1503,1000,1500,2000,999
1737285455.735458,12825,1737285455,734464640,,255,1500,1673,1612,1503,1000,1500,2000,999
1737285455.8373106,12826,1737285455,836457472,,255,1500,1684,1612,1503,1000,1500,2000,999
1737285455.9276843,12827,1737285455,926452352,,255,1500,1693,1612,1503,1000,1500,2000,999
1737285456.0263817,12828,1737285456,25447232,,255,1500,1707,1612,1503,999,1500,2000,999
1737285456.131541,12829,1737285456,129440832,,255,1500,1709,1612,1503,999,1500,2000,999
1737285456.230868,12830,1737285456,229439040,,255,1500,1708,1612,1503,999,1500,2000,999
1737285456.3298118,12831,1737285456,328433664,,255,1500,1704,1612,1503,999,1500,2000,999
1737285456.4288564,12832,1737285456,427428032,,255,1500,1699,1612,1503,999,1500,2000,1000
1737285456.529667,12833,1737285456,526423168,,255,1500,1698,1612,1503,999,1500,2000,1000
1737285456.631334,12834,1737285456,628416000,,255,1500,1694,1612,1503,1000,1500,2000,1000
1737285456.7314174,12835,1737285456,729413440,,255,1500,1690,1612,1503,1000,1500,2000,1000
1737285456.8283558,12836,1737285456,826409856,,255,1500,1679,1612,1503,1000,1500,2000,1000
1737285456.9356277,12837,1737285456,930401152,,255,1500,1652,1612,1503,1000,1500,2000,999
1737285457.0310092,12838,1737285457,29391680,,255,1500,1627,1612,1503,1000,1500,2000,999
1737285457.1349165,12839,1737285457,128391680,,255,1500,1502,1612,1503,999,1500,2000,999
1737285457.2328312,12840,1737285457,230380672,,255,1500,1502,1612,1503,999,1500,2000,999
1737285457.3325474,12841,1737285457,330370944,,255,1500,1502,1612,1503,999,1500,2000,1000
1737285457.430562,12842,1737285457,429364032,,255,1500,1502,1612,1503,999,1500,2000,1000
1737285457.5300374,12843,1737285457,528364032,,255,1500,1511,1612,1503,1000,1500,2000,1000
1737285457.6293163,12844,1737285457,627364032,,255,1500,1580,1612,1503,999,1500,2000,1000
1737285457.7289345,12845,1737285457,726364800,,255,1500,1595,1612,1503,1000,1500,2000,1000
1737285457.8319325,12846,1737285457,830358656,,255,1500,1619,1612,1503,999,1500,2000,1000
1737285457.9308488,12847,1737285457,929352256,,255,1500,1618,1612,1503,1000,1500,2000,1000
1737285458.0270803,12848,1737285458,25347136,,255,1500,1611,1612,1503,1000,1500,2000,1000
1737285458.1290889,12849,1737285458,127340480,,255,1500,1600,1612,1503,1000,1500,2000,1000
1737285458.228281,12850,1737285458,226338176,,255,1500,1535,1612,1503,1000,1500,2000,999
1737285458.3274367,12851,1737285458,325333568,,255,1500,1544,1612,1503,1000,1500,2000,1000
1737285458.430857,12852,1737285458,429330240,,255,1500,1571,1612,1503,1000,1500,2000,999
